lemma,abs_frequency,ipm
требовать,6321,88
поправлять,6314,88
мечтать,6311,88
постоять,6301,88
окружать,6297,87
тепло,6294,87
запоминать,6275,87
ночной,6274,87
включать,6269,87
задача,6262,87
пятый,6256,87
отставать,6256,87
видный,6255,87
далекий,6235,87
рост,6230,87
справляться,6227,86
желание,6225,86
прежний,6224,86
плыть,6205,86
полковник,6197,86
радоваться,6197,86
осматривать,6197,86
записка,6196,86
пес,6196,86
вообще-то,6194,86
лейтенант,6171,86
дикий,6170,86
было,6166,86
баба,6163,86
майор,6156,86
солнечный,6152,85
широко,6152,85
шутка,6147,85
крепкий,6145,85
наверняка,6136,85
старушка,6133,85
летать,6131,85
рубашка,6127,85
журнал,6121,85
обнимать,6105,85
уставляться,6092,85
крайний,6091,85
сцена,6082,84
извинять,6077,84
центр,6076,84
здоровый,6073,84
коробка,6070,84
дыхание,6068,84
ошибаться,6057,84
старуха,6050,84
волнение,6047,84
вытирать,6038,84
честно,6032,84
крутой,6028,84
разводить,6026,84
долгий,6016,84
разглядывать,6001,83
розовый,6000,83
вспыхивать,5995,83
лишний,5994,83
помолчать,5976,83
торопливо,5975,83
локоть,5959,83
палатка,5957,83
известно,5956,83
армия,5955,83
лед,5945,83
туман,5943,83
задумчиво,5933,82
внезапно,5931,82
цель,5925,82
покрывать,5923,82
автобус,5920,82
поглядывать,5912,82
праздник,5906,82
кино,5892,82
подобный,5891,82
домик,5889,82
название,5883,82
здание,5876,82
слабый,5867,81
ира,5862,81
шагать,5861,81
александр,5860,81
фонарь,5860,81
подарить,5858,81
постель,5857,81
проблема,5847,81
переживать,5844,81
опасный,5842,81
глубоко,5840,81
калитка,5840,81
задний,5839,81
выпивать,5839,81
разбирать,5836,81
валерка,5823,81
ствол,5822,81
по-прежнему,5821,81
сергеевна,5808,81
иной,5808,81
горло,5806,81
восемь,5806,81
доказывать,5804,81
телевизор,5799,81
одеяло,5788,80
относиться,5780,80
решение,5778,80
художник,5776,80
возможность,5770,80
запирать,5770,80
отводить,5768,80
договариваться,5760,80
люся,5757,80
корова,5757,80
макар,5754,80
молоко,5754,80
наука,5748,80
идея,5745,80
партизан,5740,80
причина,5722,79
забираться,5721,79
знак,5702,79
жаль,5700,79
неизвестно,5696,79
полететь,5694,79
блинков,5692,79
